Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_1007	28402	14684	0.52
Tpa_1022	343308	22225	0.06
Tpa_1042	2419	1483	0.61
Tpa_1071	7774	6701	0.86
Tpa_1077	26829	25138	0.94
Tpa_1082	171109	165426	0.97
Tpa_1098	192	174	0.91
Tpa_1112	38435	31402	0.82
Tpa_1136	156	11	0.07
Tpa_1144	14526	13704	0.94
Tpa_1154	26520	25187	0.95
Tpa_1156	508	68	0.13
Tpa_1187	5513	5186	0.94
Tpa_1268	13159	12708	0.97
Tpa_1290	19545	4580	0.23
Tpa_1304	25796	14273	0.55
Tpa_1305	2230	16	0.01
Tpa_1310	54156	11225	0.21
Tpa_1312	23526	22854	0.97
Tpa_1320	43528	446	0.01
Tpa_1341	8560	4992	0.58
Tpa_1357	72676	70638	0.97
Tpa_1359	2260	2139	0.95
Tpa_1394	632	615	0.97
Tpa_1443	1244	1123	0.90
Tpa_1486	186435	23244	0.12
Tpa_1515	4907	4681	0.95
Tpa_1528	4017	3872	0.96
Tpa_1542	146219	45549	0.31
Tpa_1548	7323	3056	0.42
Tpa_1550	35719	28657	0.80
Tpa_1585	130344	124542	0.96
Tpa_1593	9485	7698	0.81
Tpa_1606	21758	4831	0.22
Tpa_1638	6979	5951	0.85
Tpa_1646	63897	16499	0.26
Tpa_1662	49299	24351	0.49
Tpa_1678	64380	62161	0.97
Tpa_1689	30049	28883	0.96
Tpa_1703	377	10	0.03
Tpa_1731	27485	19907	0.72
Tpa_1774	23142	21096	0.91
Tpa_1775	32069	1387	0.04
Tpa_1818	7781	4033	0.52
Tpa_1831	4890	4774	0.98
Tpa_1832	1290	1267	0.98
Tpa_1843	22157	11924	0.54
Tpa_1891	18422	18003	0.98
Tpa_1896	6462	6082	0.94
Tpa_1917	4286	4011	0.94
Tpa_1930	6151	5715	0.93
Tpa_1966	15477	9687	0.63
Tpa_2006	38256	37214	0.97
Tpa_2010	14750	14031	0.95
Tpa_2021	37054	23953	0.65
Tpa_2034	9355	8997	0.96
Tpa_2040	57371	52022	0.91
Tpa_2041	352795	34788	0.10
Tpa_2073	912	755	0.83
Tpa_2076	32736	3249	0.10
Tpa_2096	9775	9528	0.97
Tpa_2128	36815	33022	0.90
Tpa_2157	13030	12678	0.97
Tpa_2180	9497	5486	0.58
Tpa_2194	6225	6007	0.96
Tpa_2207	18543	18050	0.97
Tpa_2254	16609	11074	0.67
Tpa_2278	12155	11842	0.97
Tpa_2334	28867	48	0.00
Tpa_2344	17808	15053	0.85
Tpa_2353	11517	11268	0.98
Tpa_2368	53845	41033	0.76
Tpa_2412	9011	2379	0.26
Tpa_2417	8624	5432	0.63
Tpa_2453	1687	0	0.00
Tpa_2458	48770	37007	0.76
Tpa_2460	33978	2158	0.06
Tpa_2470	8344	6360	0.76
Tpa_2483	13148	12130	0.92
Tpa_2498	4705	2855	0.61
Tpa_2509	32840	31792	0.97
Tpa_2518	1396	1249	0.89
Tpa_2519	3566	3251	0.91
Tpa_2523	731	667	0.91
Tpa_2581	17879	16463	0.92
Tpa_2601	14540	14102	0.97
Tpa_2608	15893	12714	0.80
Tpa_2636	195361	1041	0.01
Tpa_2639	12485	3983	0.32
Tpa_2664	6921	6586	0.95
Tpa_2702	22722	21238	0.93
Tpa_2712	27295	25716	0.94
Tpa_2734	16959	15214	0.90
Tpa_2741	702	79	0.11
Tpa_2745	86745	77560	0.89
Tpa_2763	18270	17907	0.98
Tpa_2845	176	166	0.94
Tpa_2854	7672	941	0.12
Tpa_2856	2250	1584	0.70
Tpa_2861	3848	2737	0.71
Tpa_2868	1816	1301	0.72
Tpa_2900	27790	26154	0.94
