Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_1007	103	2	0.02
Tpa_1022	432	19	0.04
Tpa_1042	4	0	0.00
Tpa_1071	1593	17	0.01
Tpa_1077	17771	205	0.01
Tpa_1082	14124	11643	0.82
Tpa_1098	9	0	0.00
Tpa_1112	1067	21	0.02
Tpa_1136	1	1	1.00
Tpa_1144	321	39	0.12
Tpa_1154	191	49	0.26
Tpa_1156	0	0	NA
Tpa_1187	47	28	0.60
Tpa_1268	475	63	0.13
Tpa_1290	0	0	NA
Tpa_1304	44	3	0.07
Tpa_1305	113	0	0.00
Tpa_1310	322	3	0.01
Tpa_1312	9101	217	0.02
Tpa_1320	266	2	0.01
Tpa_1341	5183	0	0.00
Tpa_1357	1541	87	0.06
Tpa_1359	299	32	0.11
Tpa_1394	4	3	0.75
Tpa_1404	82478	0	0.00
Tpa_1443	103	0	0.00
Tpa_1486	35792	81	0.00
Tpa_1515	953	41	0.04
Tpa_1528	3161	13	0.00
Tpa_1542	36759	148	0.00
Tpa_1548	342	5	0.01
Tpa_1550	6347	407	0.06
Tpa_1585	10978	9155	0.83
Tpa_1593	588	29	0.05
Tpa_1606	356	23	0.06
Tpa_1638	2385	11	0.00
Tpa_1646	14985	194	0.01
Tpa_1662	7435	123	0.02
Tpa_1678	3058	870	0.28
Tpa_1689	2594	102	0.04
Tpa_1703	2	0	0.00
Tpa_1731	11240	837	0.07
Tpa_1774	683	185	0.27
Tpa_1775	4329	73	0.02
Tpa_1804	42769	753	0.02
Tpa_1818	824	1	0.00
Tpa_1831	247	235	0.95
Tpa_1832	5	5	1.00
Tpa_1843	18055	13	0.00
Tpa_1847	24178	0	0.00
Tpa_1891	737	105	0.14
Tpa_1896	1973	25	0.01
Tpa_1917	400	1	0.00
Tpa_1930	66	47	0.71
Tpa_1966	229	48	0.21
Tpa_2006	2432	2324	0.96
Tpa_2010	18443	12	0.00
Tpa_2021	49707	606	0.01
Tpa_2034	6	4	0.67
Tpa_2040	1698	1080	0.64
Tpa_2041	13447	527	0.04
Tpa_2073	1003	0	0.00
Tpa_2076	736	139	0.19
Tpa_2096	31	19	0.61
Tpa_2128	18	9	0.50
Tpa_2157	525	318	0.61
Tpa_2180	3153	54	0.02
Tpa_2194	20	12	0.60
Tpa_2207	50	44	0.88
Tpa_2254	1603	11	0.01
Tpa_2278	104	47	0.45
Tpa_2334	14037	0	0.00
Tpa_2344	9711	1218	0.13
Tpa_2353	320	200	0.62
Tpa_2368	24655	766	0.03
Tpa_2412	12249	49	0.00
Tpa_2417	245	62	0.25
Tpa_2453	84	0	0.00
Tpa_2458	720	137	0.19
Tpa_2460	30994	0	0.00
Tpa_2470	13820	147	0.01
Tpa_2483	30393	24	0.00
Tpa_2498	2359	4	0.00
Tpa_2509	1357	1282	0.94
Tpa_2518	520	16	0.03
Tpa_2519	274	4	0.01
Tpa_2523	13893	0	0.00
Tpa_2581	711	341	0.48
Tpa_2601	2379	2300	0.97
Tpa_2608	39909	585	0.01
Tpa_2636	22	6	0.27
Tpa_2639	35934	1	0.00
Tpa_2664	20740	8	0.00
Tpa_2702	4777	314	0.07
Tpa_2712	16791	2598	0.15
Tpa_2734	4269	267	0.06
Tpa_2741	0	0	NA
Tpa_2745	14230	1583	0.11
Tpa_2763	97	75	0.77
Tpa_2845	12	1	0.08
Tpa_2854	2622	0	0.00
Tpa_2856	3175	7	0.00
Tpa_2861	1245	0	0.00
Tpa_2868	5139	0	0.00
Tpa_2900	1798	588	0.33
Tpa_2907	281	2	0.01
Tpa_2961	2	2	1.00
Tpa_2970	1496	5	0.00
Tpa_3004	7999	1486	0.19
Tpa_3011	19395	0	0.00
Tpa_3018	2411	46	0.02
Tpa_3047	3157	83	0.03
Tpa_3055	399	0	0.00
Tpa_3063	265	3	0.01
Tpa_3129	820	150	0.18
