Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_7765	36542	179	0.00
Tpa_7769	257	208	0.81
Tpa_7772	524	2	0.00
Tpa_7798	13683	1325	0.10
Tpa_7799	3027	257	0.08
Tpa_7805	360	225	0.62
Tpa_7807	13888	488	0.04
Tpa_7814	7352	1046	0.14
Tpa_7825	3019	2300	0.76
Tpa_7848	11459	260	0.02
Tpa_7910	13505	508	0.04
