Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate.x	Heterozygosity.x	conScore.x	GenotypeRate.y	Heterozygosity.y	conScore.y
59	CAT_52507_477_S119_L001_R1_001	99635	5313	85972	8350	0.05	0.86	0.08	0.252	0.052	0.115	0.252	0.052	0.115
60	CAT_52507_477_S23_L001_R1_001	120132	24866	87508	7758	0.21	0.73	0.06	0.562	0.102	0.02	0.562	0.102	0.02
61	CAT_52507_479_S120_L001_R1_001	40851	1995	28669	10187	0.05	0.7	0.25	0.356	0.054	0.074	0.356	0.054	0.074
62	CAT_52507_479_S24_L001_R1_001	83185	9511	45270	28404	0.11	0.54	0.34	0.666	0.1	0.08	0.666	0.1	0.08
63	CAT_52507_484_S121_L001_R1_001	110914	5457	84187	21270	0.05	0.76	0.19	0.386	0.062	0.097	0.386	0.062	0.097
64	CAT_52507_484_S25_L001_R1_001	176419	31700	104516	40203	0.18	0.59	0.23	0.798	0.13	0.123	0.798	0.13	0.123
65	CAT_52507_485_S122_L001_R1_001	116295	6317	84836	25142	0.05	0.73	0.22	0.508	0.072	0.139	0.508	0.072	0.139
66	CAT_52507_485_S26_L001_R1_001	161437	32828	90679	37930	0.2	0.56	0.23	0.854	0.106	0.151	0.854	0.106	0.151
67	CAT_52508_002_S130_L001_R1_001	66529	3476	54395	8658	0.05	0.82	0.13	0.3	0.042	0	0.3	0.042	0
68	CAT_52508_002_S34_L001_R1_001	118306	30461	78785	9060	0.26	0.67	0.08	0.602	0.11	0	0.602	0.11	0
69	CAT_52508_004_S131_L001_R1_001	136444	7095	122259	7090	0.05	0.9	0.05	0.148	0.028	0.143	0.148	0.028	0.143
70	CAT_52508_004_S35_L001_R1_001	171462	32696	134619	4147	0.19	0.79	0.02	0.172	0.036	0.056	0.172	0.036	0.056
71	CAT_52508_011_S132_L001_R1_001	43508	1561	21772	20175	0.04	0.5	0.46	0.512	0.062	0.129	0.512	0.062	0.129
72	CAT_52508_011_S36_L001_R1_001	848483	43503	80681	724299	0.05	0.1	0.85	0.952	0.148	0.311	0.952	0.148	0.311
73	CAT_52508_014_S133_L001_R1_001	70427	3699	62787	3941	0.05	0.89	0.06	0.156	0.016	0	0.156	0.016	0
74	CAT_52508_014_S37_L001_R1_001	105176	26033	76298	2845	0.25	0.73	0.03	0.27	0.038	0.053	0.27	0.038	0.053
75	CAT_52508_017_S134_L001_R1_001	56889	1953	32760	22176	0.03	0.58	0.39	0.45	0.06	0.167	0.45	0.06	0.167
76	CAT_52508_017_S38_L001_R1_001	406870	35873	140729	230268	0.09	0.35	0.57	0.83	0.122	0.197	0.83	0.122	0.197
77	CAT_52508_019_S135_L001_R1_001	85957	4169	75060	6728	0.05	0.87	0.08	0.186	0.032	0.188	0.186	0.032	0.188
78	CAT_52508_019_S39_L001_R1_001	110536	24566	81298	4672	0.22	0.74	0.04	0.338	0.058	0.103	0.338	0.058	0.103
79	CAT_52508_022_S136_L001_R1_001	76527	3814	69620	3093	0.05	0.91	0.04	0.064	0.016	0	0.064	0.016	0
80	CAT_52508_022_S40_L001_R1_001	123863	27881	94027	1955	0.23	0.76	0.02	0.158	0.028	0	0.158	0.028	0
81	CAT_52508_024_S137_L001_R1_001	80702	4120	69995	6587	0.05	0.87	0.08	0.168	0.026	0.077	0.168	0.026	0.077
82	CAT_52508_024_S41_L001_R1_001	108536	22308	82549	3679	0.21	0.76	0.03	0.254	0.038	0.053	0.254	0.038	0.053
83	CAT_52508_025_S138_L001_R1_001	60337	3150	49274	7913	0.05	0.82	0.13	0.278	0.052	0.154	0.278	0.052	0.154
84	CAT_52508_025_S42_L001_R1_001	102265	21331	76686	4248	0.21	0.75	0.04	0.282	0.05	0.04	0.282	0.05	0.04
85	CAT_52508_027_S139_L001_R1_001	73768	3859	58339	11570	0.05	0.79	0.16	0.34	0.06	0.033	0.34	0.06	0.033
86	CAT_52508_027_S43_L001_R1_001	138849	32065	91950	14834	0.23	0.66	0.11	0.66	0.108	0.056	0.66	0.108	0.056
87	CAT_52508_031_S140_L001_R1_001	77726	4096	64299	9331	0.05	0.83	0.12	0.272	0.032	0.062	0.272	0.032	0.062
88	CAT_52508_031_S44_L001_R1_001	132790	28293	98125	6372	0.21	0.74	0.05	0.418	0.054	0.037	0.418	0.054	0.037
89	CAT_52508_033_S141_L001_R1_001	196174	10012	162501	23661	0.05	0.83	0.12	0.332	0.058	0.172	0.332	0.058	0.172
90	CAT_52508_033_S45_L001_R1_001	167977	25988	125042	16947	0.15	0.74	0.1	0.612	0.108	0.074	0.612	0.108	0.074
91	CAT_52508_036_S142_L001_R1_001	65809	3029	47126	15654	0.05	0.72	0.24	0.376	0.074	0.243	0.376	0.074	0.243
92	CAT_52508_036_S46_L001_R1_001	165140	28651	70099	66390	0.17	0.42	0.4	0.74	0.152	0.184	0.74	0.152	0.184
93	CAT_52508_039_S143_L001_R1_001	102259	5011	87681	9567	0.05	0.86	0.09	0.17	0.024	0.083	0.17	0.024	0.083
94	CAT_52508_039_S47_L001_R1_001	120363	26604	87453	6306	0.22	0.73	0.05	0.282	0.042	0.048	0.282	0.042	0.048
95	CAT_52508_040_S144_L001_R1_001	84720	4397	71633	8690	0.05	0.85	0.1	0.262	0.046	0.043	0.262	0.046	0.043
96	CAT_52508_040_S48_L001_R1_001	115769	25092	84295	6382	0.22	0.73	0.06	0.484	0.074	0.027	0.484	0.074	0.027
97	CAT_52508_043_S145_L001_R1_001	68315	3628	57870	6817	0.05	0.85	0.1	0.252	0.05	0.04	0.252	0.05	0.04
