Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
CAT_52508_027_S139_L001_R1_001	 73768	 3859	 58339	11570	0.05	0.79	0.16	0.340	0.060	0.033
CAT_52508_027_S43_L001_R1_001	138849	32065	 91950	14834	0.23	0.66	0.11	0.660	0.108	0.056
CAT_52508_031_S140_L001_R1_001	 77726	 4096	 64299	 9331	0.05	0.83	0.12	0.272	0.032	0.062
CAT_52508_031_S44_L001_R1_001	132790	28293	 98125	 6372	0.21	0.74	0.05	0.418	0.054	0.037
CAT_52508_033_S141_L001_R1_001	196174	10012	162501	23661	0.05	0.83	0.12	0.332	0.058	0.172
CAT_52508_033_S45_L001_R1_001	167977	25988	125042	16947	0.15	0.74	0.10	0.612	0.108	0.074
CAT_52508_036_S142_L001_R1_001	 65809	 3029	 47126	15654	0.05	0.72	0.24	0.376	0.074	0.243
CAT_52508_039_S143_L001_R1_001	102259	 5011	 87681	 9567	0.05	0.86	0.09	0.170	0.024	0.083
CAT_52508_039_S47_L001_R1_001	120363	26604	 87453	 6306	0.22	0.73	0.05	0.282	0.042	0.048
CAT_52508_040_S144_L001_R1_001	 84720	 4397	 71633	 8690	0.05	0.85	0.10	0.262	0.046	0.043
CAT_52508_040_S48_L001_R1_001	115769	25092	 84295	 6382	0.22	0.73	0.06	0.484	0.074	0.027
CAT_52508_043_S145_L001_R1_001	 68315	 3628	 57870	 6817	0.05	0.85	0.10	0.252	0.050	0.040
CAT_52508_043_S49_L001_R1_001	100296	20124	 70721	 9451	0.20	0.71	0.09	0.640	0.118	0.051
CAT_52508_046_S146_L001_R1_001	 69166	 3788	 57531	 7847	0.05	0.83	0.11	0.278	0.044	0.045
CAT_52508_046_S50_L001_R1_001	109411	27419	 76051	 5941	0.25	0.70	0.05	0.498	0.084	0.048
CAT_52508_047_S147_L001_R1_001	 65600	 3534	 56864	 5202	0.05	0.87	0.08	0.210	0.034	0.059
CAT_52508_047_S51_L001_R1_001	130003	35181	 90447	 4375	0.27	0.70	0.03	0.424	0.072	0.000
CAT_52508_052_S148_L001_R1_001	133480	 7151	101495	24834	0.05	0.76	0.19	0.488	0.068	0.176
CAT_52508_056_S149_L001_R1_001	 61134	 3088	 53779	 4267	0.05	0.88	0.07	0.206	0.036	0.111
