Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_1678	16138	10760	0.67
Tpa_1689	7588	1773	0.23
Tpa_1703	117	2	0.02
Tpa_1731	33393	7322	0.22
Tpa_1774	7194	5262	0.73
Tpa_1775	17682	628	0.04
Tpa_1804	412510	10398	0.03
Tpa_1818	25934	420	0.02
Tpa_1831	4474	4333	0.97
Tpa_1832	910	893	0.98
Tpa_1843	44283	1277	0.03
Tpa_1847	227173	4	0.00
Tpa_1891	3847	2454	0.64
Tpa_1896	5380	897	0.17
Tpa_1917	1332	294	0.22
Tpa_1930	1534	1413	0.92
Tpa_1966	6280	2273	0.36
Tpa_2006	16047	15416	0.96
Tpa_2010	46174	2975	0.06
Tpa_2021	128597	8587	0.07
Tpa_2034	2167	1998	0.92
Tpa_2040	16016	12508	0.78
Tpa_2041	104988	6120	0.06
Tpa_2073	2352	116	0.05
Tpa_2076	12545	1354	0.11
Tpa_2096	1625	1550	0.95
Tpa_2128	5925	5377	0.91
Tpa_2157	4164	3442	0.83
Tpa_2180	10586	1489	0.14
Tpa_2194	1342	1283	0.96
Tpa_2207	2116	2034	0.96
Tpa_2254	6558	1782	0.27
Tpa_2278	2881	2649	0.92
Tpa_2334	34871	9	0.00
Tpa_2344	27550	6662	0.24
Tpa_2353	2481	2153	0.87
Tpa_2368	66657	8599	0.13
Tpa_2412	30555	754	0.02
Tpa_2417	2123	1185	0.56
Tpa_2453	568	0	0.00
Tpa_2458	10282	6083	0.59
Tpa_2460	77823	171	0.00
Tpa_2470	34843	1842	0.05
Tpa_2483	71959	986	0.01
Tpa_2498	6383	413	0.06
Tpa_2509	9950	9545	0.96
Tpa_2518	1749	486	0.28
Tpa_2519	1351	533	0.39
Tpa_2523	32345	98	0.00
Tpa_2581	10480	8908	0.85
Tpa_2601	19504	18958	0.97
Tpa_2608	97359	4454	0.05
Tpa_2636	44408	337	0.01
Tpa_2639	87336	293	0.00
Tpa_2664	48417	313	0.01
Tpa_2702	17029	5941	0.35
Tpa_2712	48125	14518	0.30
Tpa_2734	18159	8165	0.45
Tpa_2741	163	31	0.19
Tpa_2745	46858	16403	0.35
Tpa_2763	5349	5182	0.97
Tpa_2845	90	71	0.79
Tpa_2854	7557	182	0.02
Tpa_2856	8315	939	0.11
Tpa_2861	3338	366	0.11
Tpa_2868	12700	216	0.02
Tpa_2900	10211	6970	0.68
Tpa_2907	4267	388	0.09
Tpa_2961	782	624	0.80
Tpa_2970	4234	379	0.09
Tpa_3004	24768	8722	0.35
Tpa_3011	46213	305	0.01
Tpa_3018	7856	1773	0.23
Tpa_3047	8971	680	0.08
