"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"462" "90768_075C_S88_L001_R1_001" "90768_077C_S90_L001_R1_001" 17 23 0.739130434782609 0.0483193277310924 476
"463" "90768_075C_S88_L001_R1_001" "90768_078C_S91_L001_R1_001" 17 26 0.653846153846154 0.0546218487394958 476
"464" "90768_075C_S88_L001_R1_001" "90768_083C_S92_L001_R1_001" 12 19 0.631578947368421 0.0399159663865546 476
"465" "90768_075C_S88_L001_R1_001" "90768_084C_S93_L001_R1_001" 15 23 0.652173913043478 0.0483193277310924 476
"466" "90768_075C_S88_L001_R1_001" "90768_088C_S94_L001_R1_001" 14 21 0.666666666666667 0.0441176470588235 476
"467" "90768_075C_S88_L001_R1_001" "90768_090C_S95_L001_R1_001" 8 11 0.727272727272727 0.023109243697479 476
"468" "90768_075C_S88_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"469" "90768_076C_S89_L001_R1_001" "90768_077C_S90_L001_R1_001" 29 36 0.805555555555556 0.0756302521008403 476
"470" "90768_076C_S89_L001_R1_001" "90768_078C_S91_L001_R1_001" 40 47 0.851063829787234 0.0987394957983193 476
"471" "90768_076C_S89_L001_R1_001" "90768_083C_S92_L001_R1_001" 25 35 0.714285714285714 0.0735294117647059 476
"472" "90768_076C_S89_L001_R1_001" "90768_084C_S93_L001_R1_001" 37 42 0.880952380952381 0.0882352941176471 476
"473" "90768_076C_S89_L001_R1_001" "90768_088C_S94_L001_R1_001" 28 37 0.756756756756757 0.0777310924369748 476
"474" "90768_076C_S89_L001_R1_001" "90768_090C_S95_L001_R1_001" 13 16 0.8125 0.0336134453781513 476
"475" "90768_076C_S89_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"476" "90768_077C_S90_L001_R1_001" "90768_078C_S91_L001_R1_001" 44 59 0.745762711864407 0.123949579831933 476
"477" "90768_077C_S90_L001_R1_001" "90768_083C_S92_L001_R1_001" 28 37 0.756756756756757 0.0777310924369748 476
"478" "90768_077C_S90_L001_R1_001" "90768_084C_S93_L001_R1_001" 40 48 0.833333333333333 0.100840336134454 476
"479" "90768_077C_S90_L001_R1_001" "90768_088C_S94_L001_R1_001" 28 40 0.7 0.0840336134453782 476
"480" "90768_077C_S90_L001_R1_001" "90768_090C_S95_L001_R1_001" 14 17 0.823529411764706 0.0357142857142857 476
"481" "90768_077C_S90_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"482" "90768_078C_S91_L001_R1_001" "90768_083C_S92_L001_R1_001" 44 56 0.785714285714286 0.117647058823529 476
"483" "90768_078C_S91_L001_R1_001" "90768_084C_S93_L001_R1_001" 71 95 0.747368421052632 0.199579831932773 476
"484" "90768_078C_S91_L001_R1_001" "90768_088C_S94_L001_R1_001" 47 66 0.712121212121212 0.138655462184874 476
"485" "90768_078C_S91_L001_R1_001" "90768_090C_S95_L001_R1_001" 16 18 0.888888888888889 0.0378151260504202 476
"486" "90768_078C_S91_L001_R1_001" "90768_104C_S96_L001_R1_001" 0 2 0 0.00420168067226891 476
"487" "90768_083C_S92_L001_R1_001" "90768_084C_S93_L001_R1_001" 42 50 0.84 0.105042016806723 476
"488" "90768_083C_S92_L001_R1_001" "90768_088C_S94_L001_R1_001" 31 39 0.794871794871795 0.0819327731092437 476
"489" "90768_083C_S92_L001_R1_001" "90768_090C_S95_L001_R1_001" 14 16 0.875 0.0336134453781513 476
"490" "90768_083C_S92_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"491" "90768_084C_S93_L001_R1_001" "90768_088C_S94_L001_R1_001" 41 53 0.773584905660377 0.111344537815126 476
"492" "90768_084C_S93_L001_R1_001" "90768_090C_S95_L001_R1_001" 15 17 0.882352941176471 0.0357142857142857 476
"493" "90768_084C_S93_L001_R1_001" "90768_104C_S96_L001_R1_001" 0 2 0 0.00420168067226891 476
"494" "90768_088C_S94_L001_R1_001" "90768_090C_S95_L001_R1_001" 12 19 0.631578947368421 0.0399159663865546 476
"495" "90768_088C_S94_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"496" "90768_090C_S95_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 2 0.5 0.00420168067226891 476
