Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
79	52508_139_S79_L001_R1_001	97800	26833	64835	6132	0.27	0.66	0.06	0.644	0.098	0
80	52508_143_S80_L001_R1_001	82750	17947	59697	5106	0.22	0.72	0.06	0.48	0.088	0.045
81	52508_145_S81_L001_R1_001	10081	2337	6359	1385	0.23	0.63	0.14	0.28	0.06	0
82	52508_149_S82_L001_R1_001	182383	30569	52199	99615	0.17	0.29	0.55	0.83	0.132	0.242
83	52508_156_S83_L001_R1_001	121001	30990	70098	19913	0.26	0.58	0.16	0.79	0.136	0.059
84	52508_157_S84_L001_R1_001	166967	25678	95296	45993	0.15	0.57	0.28	0.782	0.12	0.117
85	52508_158_S85_L001_R1_001	92174	28707	60133	3334	0.31	0.65	0.04	0.44	0.052	0.038
86	52508_167_S86_L001_R1_001	96080	27875	68165	40	0.29	0.71	0	0.002	0	NA
87	52508_168_S87_L001_R1_001	65881	20782	44450	649	0.32	0.67	0.01	0.126	0.026	0
88	52508_173_S88_L001_R1_001	75678	20621	46396	8661	0.27	0.61	0.11	0.654	0.098	0
89	52508_174_S89_L001_R1_001	241968	37668	86594	117706	0.16	0.36	0.49	0.884	0.122	0.311
90	52508_176_S90_L001_R1_001	56222	17017	32640	6565	0.3	0.58	0.12	0.628	0.084	0.024
91	52508_179_S91_L001_R1_001	69291	22245	44995	2051	0.32	0.65	0.03	0.368	0.05	0
92	52508_182_S92_L001_R1_001	62223	19754	41286	1183	0.32	0.66	0.02	0.232	0.058	0.069
93	52508_183_S93_L001_R1_001	68062	20155	41088	6819	0.3	0.6	0.1	0.632	0.09	0.044
94	52508_189_S94_L001_R1_001	57763	14899	38211	4653	0.26	0.66	0.08	0.544	0.08	0
95	52508_201_S95_L001_R1_001	66523	20861	45139	523	0.31	0.68	0.01	0.116	0.014	0
