Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_2856	5234	18	0.00
Tpa_2861	2016	1	0.00
Tpa_2868	8728	1	0.00
Tpa_2900	2980	998	0.33
Tpa_2907	514	5	0.01
Tpa_2961	9	4	0.44
Tpa_2970	2545	10	0.00
Tpa_3004	13347	2492	0.19
Tpa_3011	32533	1	0.00
Tpa_3018	4023	80	0.02
Tpa_3047	5296	162	0.03
Tpa_3055	1058	2	0.00
