sample	GenotypeRate	Heterozygosity	conScore
133	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_105_S163_L001_R1_001	0.368	0.062	0.161
134	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_105_S67_L001_R1_001	0.782	0.11	0.091
135	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_106_S164_L001_R1_001	0.314	0.054	0.111
136	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_106_S68_L001_R1_001	0.75	0.114	0.053
137	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_111_S165_L001_R1_001	0.104	0.016	0
138	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_111_S69_L001_R1_001	0.15	0.022	0
139	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_114_S166_L001_R1_001	0.05	0.01	0.2
140	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_114_S70_L001_R1_001	0.092	0.022	0
141	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_115_S167_L001_R1_001	0.186	0.024	0.083
142	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_115_S71_L001_R1_001	0.404	0.068	0
143	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_117_S168_L001_R1_001	0.028	0.002	1
144	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_117_S72_L001_R1_001	0.122	0.018	0.111
145	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_119_S169_L001_R1_001	0.286	0.054	0.037
146	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_119_S73_L001_R1_001	0.71	0.114	0.018
147	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_127_S170_L001_R1_001	0.44	0.076	0.053
148	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_127_S74_L001_R1_001	0.852	0.122	0.295
149	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_129_S171_L001_R1_001	0.164	0.024	0.083
150	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_129_S75_L001_R1_001	0.486	0.08	0.025
151	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_131_S172_L001_R1_001	0.294	0.05	0.12
152	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_131_S76_L001_R1_001	0.54	0.084	0
153	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_134_S173_L001_R1_001	0.196	0.024	0
154	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_134_S77_L001_R1_001	0.292	0.046	0
155	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_135_S174_L001_R1_001	0.034	0.006	0.333
156	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_135_S78_L001_R1_001	0.056	0.018	0
157	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_139_S175_L001_R1_001	0.242	0.03	0
158	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_139_S79_L001_R1_001	0.644	0.098	0
159	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_143_S176_L001_R1_001	0.3	0.054	0.111
160	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_143_S80_L001_R1_001	0.48	0.088	0.045
161	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_145_S177_L001_R1_001	0.646	0.106	0.226
162	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_145_S81_L001_R1_001	0.28	0.06	0
163	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_149_S178_L001_R1_001	0.32	0.05	0.04
164	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_149_S82_L001_R1_001	0.83	0.132	0.242
165	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_156_S179_L001_R1_001	0.4	0.076	0.105
166	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_156_S83_L001_R1_001	0.79	0.136	0.059
167	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_157_S180_L001_R1_001	0.436	0.052	0.192
168	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_157_S84_L001_R1_001	0.782	0.12	0.117
169	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_158_S181_L001_R1_001	0.212	0.03	0.2
170	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_158_S85_L001_R1_001	0.44	0.052	0.038
171	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_167_S182_L001_R1_001	0.022	0.002	0
172	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_167_S86_L001_R1_001	0.002	0	NA
173	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_168_S183_L001_R1_001	0.052	0.01	0.2
174	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_168_S87_L001_R1_001	0.126	0.026	0
175	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_173_S184_L001_R1_001	0	0	NA
176	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_173_S88_L001_R1_001	0.654	0.098	0
177	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_174_S185_L001_R1_001	0.374	0.048	0.25
178	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_174_S89_L001_R1_001	0.884	0.122	0.311
179	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_176_S186_L001_R1_001	0.302	0.042	0.095
180	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_176_S90_L001_R1_001	0.628	0.084	0.024
181	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_179_S187_L001_R1_001	0.202	0.026	0.231
182	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_179_S91_L001_R1_001	0.368	0.05	0
183	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_182_S188_L001_R1_001	0.2	0.042	0.095
184	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_182_S92_L001_R1_001	0.232	0.058	0.069
185	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_183_S189_L001_R1_001	0.32	0.056	0.107
186	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_183_S93_L001_R1_001	0.632	0.09	0.044
187	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_189_S190_L001_R1_001	0.396	0.056	0.143
188	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_189_S94_L001_R1_001	0.544	0.08	0
189	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_201_S191_L001_R1_001	0.072	0.01	0.6
190	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_201_S95_L001_R1_001	0.116	0.014	0
