Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_7690	144374	140413	0.97
Tpa_7691	3349	650	0.19
Tpa_7703	32493	1919	0.06
Tpa_7755	191625	4694	0.02
Tpa_7757	556	33	0.06
Tpa_7764	58565	29265	0.50
Tpa_7765	15499	935	0.06
Tpa_7769	22886	21527	0.94
Tpa_7772	4088	1	0.00
Tpa_7798	70669	7060	0.10
Tpa_7799	17183	911	0.05
Tpa_7805	2640	2520	0.95
Tpa_7807	12583	3251	0.26
Tpa_7814	55161	17417	0.32
Tpa_7825	39326	37431	0.95
Tpa_7848	5935	3072	0.52
Tpa_7871	2401	765	0.32
Tpa_7910	5523	2625	0.48
