sample	GenotypeRate	Heterozygosity	conScore
152	CAT_52508_131_S76_L001_R1_001	0.57	0.088	0.068
153	CAT_52508_134_S173_L001_R1_001	0.234	0.03	0
154	CAT_52508_134_S77_L001_R1_001	0.346	0.05	0
155	CAT_52508_135_S174_L001_R1_001	0.048	0.006	0.333
156	CAT_52508_135_S78_L001_R1_001	0.064	0.014	0.143
157	CAT_52508_139_S175_L001_R1_001	0.304	0.042	0.095
158	CAT_52508_139_S79_L001_R1_001	0.648	0.096	0
159	CAT_52508_143_S176_L001_R1_001	0.356	0.056	0.179
160	CAT_52508_143_S80_L001_R1_001	0.538	0.09	0.089
161	CAT_52508_145_S177_L001_R1_001	0.704	0.116	0.224
162	CAT_52508_145_S81_L001_R1_001	0.604	0.1	0.2
163	CAT_52508_149_S178_L001_R1_001	0.376	0.06	0.067
164	CAT_52508_149_S82_L001_R1_001	0.83	0.132	0.227
165	CAT_52508_156_S179_L001_R1_001	0.46	0.082	0.171
166	CAT_52508_156_S83_L001_R1_001	0.79	0.136	0.088
167	CAT_52508_157_S180_L001_R1_001	0.476	0.06	0.3
168	CAT_52508_157_S84_L001_R1_001	0.784	0.12	0.15
169	CAT_52508_158_S181_L001_R1_001	0.25	0.04	0.15
170	CAT_52508_158_S85_L001_R1_001	0.456	0.054	0.111
171	CAT_52508_167_S182_L001_R1_001	0.026	0.002	0
172	CAT_52508_167_S86_L001_R1_001	0.024	0	NA
173	CAT_52508_168_S183_L001_R1_001	0.056	0.01	0.2
174	CAT_52508_168_S87_L001_R1_001	0.136	0.028	0.071
175	CAT_52508_173_S184_L001_R1_001	0.002	0.002	0
176	CAT_52508_173_S88_L001_R1_001	0.654	0.098	0
177	CAT_52508_174_S185_L001_R1_001	0.436	0.058	0.31
178	CAT_52508_174_S89_L001_R1_001	0.886	0.122	0.328
179	CAT_52508_176_S186_L001_R1_001	0.39	0.05	0.24
180	CAT_52508_176_S90_L001_R1_001	0.65	0.086	0.093
181	CAT_52508_179_S187_L001_R1_001	0.242	0.038	0.053
182	CAT_52508_179_S91_L001_R1_001	0.414	0.058	0.034
183	CAT_52508_182_S188_L001_R1_001	0.232	0.046	0.13
184	CAT_52508_182_S92_L001_R1_001	0.296	0.056	0.107
185	CAT_52508_183_S189_L001_R1_001	0.38	0.062	0.097
186	CAT_52508_183_S93_L001_R1_001	0.65	0.098	0.082
187	CAT_52508_189_S190_L001_R1_001	0.464	0.066	0.091
188	CAT_52508_189_S94_L001_R1_001	0.584	0.084	0.024
189	CAT_52508_201_S191_L001_R1_001	0.106	0.018	0.444
190	CAT_52508_201_S95_L001_R1_001	0.15	0.024	0.25
