"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"391" "90768_054A_S17_L001_R1_001" "90768_104A_S32_L001_R1_001" 5 7 0.714285714285714 0.0147058823529412 476
"392" "90768_055A_S18_L001_R1_001" "90768_056A_S19_L001_R1_001" 57 72 0.791666666666667 0.151260504201681 476
"393" "90768_055A_S18_L001_R1_001" "90768_057A_S20_L001_R1_001" 129 173 0.745664739884393 0.36344537815126 476
"394" "90768_055A_S18_L001_R1_001" "90768_061A_S21_L001_R1_001" 40 50 0.8 0.105042016806723 476
"395" "90768_055A_S18_L001_R1_001" "90768_064A_S22_L001_R1_001" 72 94 0.765957446808511 0.197478991596639 476
"396" "90768_055A_S18_L001_R1_001" "90768_067A_S23_L001_R1_001" 104 150 0.693333333333333 0.315126050420168 476
"397" "90768_055A_S18_L001_R1_001" "90768_075A_S24_L001_R1_001" 165 204 0.808823529411765 0.428571428571429 476
"398" "90768_055A_S18_L001_R1_001" "90768_076A_S25_L001_R1_001" 66 89 0.741573033707865 0.186974789915966 476
"399" "90768_055A_S18_L001_R1_001" "90768_077A_S26_L001_R1_001" 25 41 0.609756097560976 0.0861344537815126 476
"400" "90768_055A_S18_L001_R1_001" "90768_078A_S27_L001_R1_001" 105 146 0.719178082191781 0.30672268907563 476
"401" "90768_055A_S18_L001_R1_001" "90768_083A_S28_L001_R1_001" 23 31 0.741935483870968 0.0651260504201681 476
"402" "90768_055A_S18_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"403" "90768_055A_S18_L001_R1_001" "90768_088A_S30_L001_R1_001" 12 14 0.857142857142857 0.0294117647058824 476
"404" "90768_055A_S18_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"405" "90768_055A_S18_L001_R1_001" "90768_104A_S32_L001_R1_001" 6 7 0.857142857142857 0.0147058823529412 476
"406" "90768_056A_S19_L001_R1_001" "90768_057A_S20_L001_R1_001" 53 73 0.726027397260274 0.153361344537815 476
"407" "90768_056A_S19_L001_R1_001" "90768_061A_S21_L001_R1_001" 33 44 0.75 0.092436974789916 476
"408" "90768_056A_S19_L001_R1_001" "90768_064A_S22_L001_R1_001" 47 58 0.810344827586207 0.121848739495798 476
"409" "90768_056A_S19_L001_R1_001" "90768_067A_S23_L001_R1_001" 53 71 0.746478873239437 0.149159663865546 476
"410" "90768_056A_S19_L001_R1_001" "90768_075A_S24_L001_R1_001" 57 74 0.77027027027027 0.15546218487395 476
"411" "90768_056A_S19_L001_R1_001" "90768_076A_S25_L001_R1_001" 44 53 0.830188679245283 0.111344537815126 476
"412" "90768_056A_S19_L001_R1_001" "90768_077A_S26_L001_R1_001" 25 38 0.657894736842105 0.0798319327731092 476
"413" "90768_056A_S19_L001_R1_001" "90768_078A_S27_L001_R1_001" 52 69 0.753623188405797 0.144957983193277 476
"414" "90768_056A_S19_L001_R1_001" "90768_083A_S28_L001_R1_001" 20 27 0.740740740740741 0.0567226890756303 476
"415" "90768_056A_S19_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"416" "90768_056A_S19_L001_R1_001" "90768_088A_S30_L001_R1_001" 12 15 0.8 0.0315126050420168 476
"417" "90768_056A_S19_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"418" "90768_056A_S19_L001_R1_001" "90768_104A_S32_L001_R1_001" 5 7 0.714285714285714 0.0147058823529412 476
"419" "90768_057A_S20_L001_R1_001" "90768_061A_S21_L001_R1_001" 35 50 0.7 0.105042016806723 476
"420" "90768_057A_S20_L001_R1_001" "90768_064A_S22_L001_R1_001" 71 92 0.771739130434783 0.19327731092437 476
"421" "90768_057A_S20_L001_R1_001" "90768_067A_S23_L001_R1_001" 97 141 0.687943262411348 0.296218487394958 476
"422" "90768_057A_S20_L001_R1_001" "90768_075A_S24_L001_R1_001" 119 166 0.716867469879518 0.348739495798319 476
"423" "90768_057A_S20_L001_R1_001" "90768_076A_S25_L001_R1_001" 61 85 0.717647058823529 0.178571428571429 476
"424" "90768_057A_S20_L001_R1_001" "90768_077A_S26_L001_R1_001" 25 41 0.609756097560976 0.0861344537815126 476
"425" "90768_057A_S20_L001_R1_001" "90768_078A_S27_L001_R1_001" 91 127 0.716535433070866 0.266806722689076 476
"426" "90768_057A_S20_L001_R1_001" "90768_083A_S28_L001_R1_001" 27 32 0.84375 0.0672268907563025 476
"427" "90768_057A_S20_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"428" "90768_057A_S20_L001_R1_001" "90768_088A_S30_L001_R1_001" 11 14 0.785714285714286 0.0294117647058824 476
"429" "90768_057A_S20_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"430" "90768_057A_S20_L001_R1_001" "90768_104A_S32_L001_R1_001" 3 6 0.5 0.0126050420168067 476
"431" "90768_061A_S21_L001_R1_001" "90768_064A_S22_L001_R1_001" 32 41 0.780487804878049 0.0861344537815126 476
"432" "90768_061A_S21_L001_R1_001" "90768_067A_S23_L001_R1_001" 38 48 0.791666666666667 0.100840336134454 476
"433" "90768_061A_S21_L001_R1_001" "90768_075A_S24_L001_R1_001" 41 51 0.803921568627451 0.107142857142857 476
"434" "90768_061A_S21_L001_R1_001" "90768_076A_S25_L001_R1_001" 34 44 0.772727272727273 0.092436974789916 476
"435" "90768_061A_S21_L001_R1_001" "90768_077A_S26_L001_R1_001" 22 35 0.628571428571429 0.0735294117647059 476
"436" "90768_061A_S21_L001_R1_001" "90768_078A_S27_L001_R1_001" 41 48 0.854166666666667 0.100840336134454 476
"437" "90768_061A_S21_L001_R1_001" "90768_083A_S28_L001_R1_001" 18 24 0.75 0.0504201680672269 476
"438" "90768_061A_S21_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"439" "90768_061A_S21_L001_R1_001" "90768_088A_S30_L001_R1_001" 12 14 0.857142857142857 0.0294117647058824 476
"440" "90768_061A_S21_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"441" "90768_061A_S21_L001_R1_001" "90768_104A_S32_L001_R1_001" 5 7 0.714285714285714 0.0147058823529412 476
"442" "90768_064A_S22_L001_R1_001" "90768_067A_S23_L001_R1_001" 72 89 0.808988764044944 0.186974789915966 476
"443" "90768_064A_S22_L001_R1_001" "90768_075A_S24_L001_R1_001" 78 95 0.821052631578947 0.199579831932773 476
"444" "90768_064A_S22_L001_R1_001" "90768_076A_S25_L001_R1_001" 52 68 0.764705882352941 0.142857142857143 476
"445" "90768_064A_S22_L001_R1_001" "90768_077A_S26_L001_R1_001" 27 37 0.72972972972973 0.0777310924369748 476
"446" "90768_064A_S22_L001_R1_001" "90768_078A_S27_L001_R1_001" 68 86 0.790697674418605 0.180672268907563 476
"447" "90768_064A_S22_L001_R1_001" "90768_083A_S28_L001_R1_001" 21 28 0.75 0.0588235294117647 476
"448" "90768_064A_S22_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
